,Origin_Id,Origin Station Complex Name,Origin Latitude,Origin Longitude,Destination_Id,Destination Station Complex Name,Destination Latitude,Destination Longitude,Origin Point,Destination Point,Estimated_Total_Ridership
210,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,157,"96 St (C,B)",40.791642,-73.964696,POINT (-74.007838 40.710089),POINT (-73.964696 40.791642),3756.016
1588,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,144,Dyckman St (A),40.865491,-73.927271,POINT (-74.007838 40.710089),POINT (-73.927271 40.865491),3755.9623
130,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,357,"Beverly Rd (2,5)",40.645098,-73.948959,POINT (-73.977359 40.751992),POINT (-73.948959 40.645098),3746.6663
559,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,109,Fresh Pond Rd (M),40.706186,-73.895877,POINT (-73.987581 40.755746),POINT (-73.895877 40.706186),3746.4415
1632,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,379,Mosholu Pkwy (4),40.87975,-73.884655,POINT (-74.007838 40.710089),POINT (-73.884655 40.87975),3745.8129
754,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,336,"Hoyt St (2,3)",40.690545,-73.985065,POINT (-73.977359 40.751992),POINT (-73.985065 40.690545),3743.3047
372,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,58,"Coney Island-Stillwell Av (D,F,N,Q)",40.577422,-73.981233,POINT (-74.007838 40.710089),POINT (-73.981233 40.577422),3740.9654
82,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,20,"City Hall (R,W)",40.713282,-74.006978,POINT (-73.977359 40.751992),POINT (-74.006978 40.713282),3738.2704
32,628,"Fulton St (A,C,J,Z,2,3,4,5)",40.710089,-74.007838,13,"28 St (R,W)",40.745494,-73.988691,POINT (-74.007838 40.710089),POINT (-73.988691 40.745494),3737.6347
101,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,258,"Briarwood (E,F)",40.709179,-73.820574,POINT (-73.987581 40.755746),POINT (-73.820574 40.709179),3736.3641
142,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,346,Sutter Av-Rutland Rd (3),40.664717,-73.92261,POINT (-73.977359 40.751992),POINT (-73.92261 40.664717),3734.1501
746,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,428,"174 St (2,5)",40.837288,-73.887734,POINT (-73.977359 40.751992),POINT (-73.887734 40.837288),3734.0385
11,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,387,170 St (4),40.840075,-73.917791,POINT (-73.987581 40.755746),POINT (-73.917791 40.840075),3730.7538
49,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,418,"233 St (2,5)",40.893193,-73.857473,POINT (-73.987581 40.755746),POINT (-73.857473 40.893193),3720.3113
571,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,130,Wilson Av (L),40.688764,-73.904046,POINT (-73.987581 40.755746),POINT (-73.904046 40.688764),3708.168
804,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,300,191 St (1),40.855225,-73.929412,POINT (-73.977359 40.751992),POINT (-73.929412 40.855225),3695.7663
438,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,43,Parkside Av (Q),40.655292,-73.961495,POINT (-73.977359 40.751992),POINT (-73.961495 40.655292),3688.7722
635,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,343,Nostrand Av (3),40.669847,-73.950466,POINT (-73.987581 40.755746),POINT (-73.950466 40.669847),3671.4879
1109,610,"Grand Central-42 St (S,4,5,6,7)",40.751992,-73.977359,36,Bay Ridge Av (R),40.634967,-74.023377,POINT (-73.977359 40.751992),POINT (-74.023377 40.634967),3656.8639
550,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,75,20 Av (N),40.61741,-73.985026,POINT (-73.987581 40.755746),POINT (-73.985026 40.61741),3656.5092
